name,date,type,isFullDay,hoursIfPartial
Duruthu Full Moon Poya Day,2026-01-03,public,true,
Tamil Thai Pongal Day,2026-01-15,public,true,
Navam Full Moon Poya Day,2026-02-01,public,true,
National Day,2026-02-04,public,true,
Mahasivarathri Day,2026-02-15,public,true,
Madin Full Moon Poya Day,2026-03-02,public,true,
Id Ul-Fitr (Ramazan Festival Day),2026-03-21,public,true,
Bak Full Moon Poya Day,2026-04-01,public,true,
Good Friday,2026-04-03,public,true,
Day prior to Sinhala & Tamil New Year Day,2026-04-13,public,true,
Sinhala & Tamil New Year Day,2026-04-14,public,true,
May Day,2026-05-01,public,true,
Vesak Full Moon Poya Day,2026-05-01,public,true,
Day following Vesak Full Moon Poya Day,2026-05-02,public,true,
Id Ul-Alha (Hadji Festival Day),2026-05-28,public,true,
Adhi Poson Full Moon Poya Day,2026-05-30,public,true,
Poson Full Moon Poya Day,2026-06-29,public,true,
Esala Full Moon Poya Day,2026-07-29,public,true,
Milad un-Nabi (Holy Prophet's Birthday),2026-08-26,public,true,
Nikini Full Moon Poya Day,2026-08-27,public,true,
Binara Full Moon Poya Day,2026-09-26,public,true,
Vap Full Moon Poya Day,2026-10-25,public,true,
Deepavali Festival Day,2026-11-08,public,true,
Il Full Moon Poya Day,2026-11-24,public,true,
Unduvap Full Moon Poya Day,2026-12-23,public,true,
Christmas Day,2026-12-25,public,true,
